HSCode,ShipperName,ShipperFullAddress,ShipperLocalDUNS,ShipperPanjivaID,ShipperCleanedStockTickers,ShipperOriginalFormat,NetWeightKg,ValueOfGoodsFOBUSD
0306171200,Langostinera Ramona S.A.C.,CAL. ALEXANDER FLEMING NR0 454 URB. INDUSTRIAL SANTA ROSA LIMA,,28449823,,LANGOSTINERA RAMONA S.A.C.,2513.64,21611.4
0304890000,Inversiones Peru Pacifico S.A,CAL. FRAY MARTIN DE MURUA NRO. 150 INT. 1304 URB. MARANGA LI,,29774520,,INVERSIONES PERU PACIFICO S.A,13461.1,120278.19
0307490000,Perupez S.A.C.,CAL.LOS RUISEÑORES OESTE NRO. 225 (ALT CDRA 33 DE AV REPUBLI,,28343408,,PERUPEZ S.A.C.,27000.0,33092.0
0303140000,Piscifactorias De Los,PARAJE ATAQUICHQUE NRO. S/N JUNIN - HUANCAYO - QUICHUAY,934610452,33931280,,PISCIFACTORIAS DE LOS ANDES S.A,1977.7,12463.31
0304990000,Consorcio Industrial El Pacifico Socieda,AV. LA MAR NRO. 638 INT. 703 LIMA - LIMA - MIRAFLORES - LIMA,934056094,28783010,,CONSORCIO INDUSTRIAL EL PACIFICO SOCIEDA,6363.64,57905.75
0302510000,Empresa Pesquera Ocean Fish S.A.C.,CAL. LAS PECANAS NRO. 112 URB. RESIDENCIAL MONTERRICO,,28781985,,EMPRESA PESQUERA OCEAN FISH S.A.C.,456.54,10550.36
0307490000,Productora Andina De Congelados,CAR. TAMBOGRANDE KM. 2.1. MZA. C LO 05 Z.I. Z.INDUSTRIAL MUNICIPAL 1 P RA - SULLANA - SULLANA-PERU TELF.: 51-73508625,,45991342,,PRODUCTORA ANDINA DE CONGELADOS S.R.L.,25830.0,48560.4
0304890000,Sercosta Sac,"AV. LAS CAMELIAS 491 OF. 402 LIMA, LIMA PROVINCE",,33505349,,SERCOSTA SAC,10886.22,67450.91
0307490000,Pesquera Hayduk S.A.,AV. MANUEL OLGUIN 501 INT. 701 URB. LIMA,,33511181,,PESQUERA HAYDUK S.A.,9576.0,9728.64
0306171300,Inversiones Silma Sac,"No. 243 Avenida Tumbes Int 1-a, Tumbes, Peru",934115903,1136404,,INVERSIONES SILMA S.A.C.,1905.11,10586.0
