HSCode,ShipperName,ShipperFullAddress,ShipperLocalDUNS,ShipperPanjivaID,ShipperCleanedStockTickers,ShipperOriginalFormat,GrossWeightKg,ValueOfGoodsFOBUSD,ExportValue
03044200,Aguas Claras S.A.,PUERTO MONTT,,45978663,, AGUAS CLARAS S.A.,934.0,10563.75,11970.03
03031220,Aguas Claras S.A.,PUERTO MONTT,,45978663,, AGUAS CLARAS S.A,48610.0,269690.0,276290.0
"03031310,03048120",X X,ANTOFAGASTA,,33929522,,X X,23870.0,112500.0,112500.0
03031420,Aguas Claras S.A.,PUERTO MONTT,,45978663,, AGUAS CLARAS S.A,24525.0,142350.0,147225.0
03044120,Salmones Multiexport S.A.,"AV. CARDONAL 2501 PUERTO MONTT, DE LOS LAGOS - X",980380745.0,4952254,MULTIFOODS-CL, SALMONES MULTIEXPORT S.A.,3716.0,35074.39,40291.79
03044120,Empresas Aquachile S.A.,"CARDONAL S/N LOTE B PUERTO MONTT, DE LOS LAGOS - X 5480000",,40758905,AQUACHILE-CL, EMPRESAS AQUACHILE S.A.,5078.0,63615.93,70906.77
03044120,Marine Harvest Chile Sa,H9231698 PUERTO MONTT,,33593588,"MHG-NO, MHGVY-US", MARINE HARVEST CHILE S.A.,1998.0,15643.72,18540.82
03049944,Salmones Camanchaca S.A.,TOME,,23411494,, SALMONES CAMANCHACA S.A.,20363.0,56716.16,60653.89
03044120,Empresas Aquachile S.A.,"CARDONAL S/N LOTE B PUERTO MONTT, DE LOS LAGOS - X 5480000",,40758905,AQUACHILE-CL, EMPRESAS AQUACHILE S.A.,2572.0,29555.42,33235.92
03044200,Salmones De Chile Alimentos S.,CHONCHI,,42248097,, SALMONES DE CHILE ALIMENTOS S.A.,518.0,5370.87,6380.97
03044120,Empresas Aquachile S.A.,"CARDONAL S/N LOTE B PUERTO MONTT, DE LOS LAGOS - X 5480000",,40758905,AQUACHILE-CL, EMPRESAS AQUACHILE S.A.,328.0,4647.76,5137.52
03044120,Salmones Multiexport S.A.,"AV. CARDONAL 2501 PUERTO MONTT, DE LOS LAGOS - X",980380745.0,4952254,MULTIFOODS-CL, SALMONES MULTIEXPORT S.A.,1736.0,13277.42,13277.42
03044200,Salmones De Chile Alimentos S.,CHONCHI,,42248097,, SALMONES DE CHILE ALIMENTOS S.A.,4296.0,45683.01,54060.21
03044200,Salmones Antartica S.A.,SANTIAGO LA,,44382177,, SALMONES ANTARTICA S.A.,2082.0,22876.78,26936.68
03079991,Joong Ki Kim Exp. E Imp. Prod. Del Mar Eirl.,SAN ANTONIO,,35041427,, JOONG KI KIM EXP. E IMP. PROD. DEL MAR EIRL.,24048.0,22370.0,25920.0
03044120,Cermaq Chile S.A.,PUERTO MONTT,,36824242,, CERMAQ CHILE S.A,2218.0,14983.91,19242.47
"03025414,03045900",Pesquera Friosur S.A.,"CALLE JOSé MARíA 300 PUERTO CHACABUCO, AISEN - XI",,23484710,, PESQUERA FRIOSUR S.A.,3028.0,11734.65,17094.21
03044120,Marine Harvest Chile Sa,H9231698 PUERTO MONTT,,33593588,"MHG-NO, MHGVY-US", MARINE HARVEST CHILE S.A.,5628.35,36298.34,45917.63
03031220,Salmones Pacific Star S.A.,PUERTO MONTT,,33932638,, SALMONES PACIFIC STAR S.A.,25404.99,71301.5,74821.5
03031220,Cermaq Chile S.A.,PUERTO MONTT,,36824242,, CERMAQ CHILE S.A.,24587.2,128512.5,134612.5
03048120,Marine Harvest Chile Sa,H9231698 PUERTO MONTT,,33593588,"MHG-NO, MHGVY-US", MARINE HARVEST CHILE S.A.,22076.0,130200.0,130200.0
03021410,Cermaq Chile S.A.,PUERTO MONTT,,36824242,, CERMAQ CHILE S.A,4832.0,19832.99,27322.59
03044200,Aguas Claras S.A.,PUERTO MONTT,,45978663,, AGUAS CLARAS S.A.,1934.0,20870.08,23706.36
03044120,Marine Harvest Chile Sa,H9231698 PUERTO MONTT,,33593588,"MHG-NO, MHGVY-US", MARINE HARVEST CHILE S.A.,3668.0,23416.2,30018.6
03048120,Salmones Camanchaca S.A.,TOME,,23411494,, SALMONES CAMANCHACA S.A.,22523.0,158794.35,164011.69
03031310,Salmones Camanchaca S.A.,TOME,,23411494,, SALMONES CAMANCHACA S.A.,21088.94,88530.66,96490.0
03079999,Sociedad Martinez Y Lagos Limitada,CONCEPCION,,34086392,, SOCIEDAD MARTINEZ Y LAGOS LIMITADA,26780.0,42317.0,45230.0
03044120,Empresas Aquachile S.A.,"CARDONAL S/N LOTE B PUERTO MONTT, DE LOS LAGOS - X 5480000",,40758905,AQUACHILE-CL, EMPRESAS AQUACHILE S.A.,2502.0,15610.68,20167.24
03045200,Salmones Camanchaca S.A.,TOME,,23411494,, SALMONES CAMANCHACA S.A.,2904.0,30118.97,34526.62
03079991,Imp.Y Exp. Eurofish Ltda,VALPARAISO,,38452452,, IMP.Y EXP. EUROFISH LTDA.,74160.0,69450.0,82800.0
03048120,Sociedad Comercial Pure Nature Spa,"LA CEBADA 1647, LOTEO CENTENARIO PUERTO VARAS",,23556715,, SOCIEDAD COMERCIAL PURE NATURE SPA,15800.0,159797.21,163947.21
03031220,Cermaq Chile S.A.,PUERTO MONTT,,36824242,, CERMAQ CHILE S.A.,24592.45,127975.0,133025.0
03044120,Salmones Multiexport S.A.,"AV. CARDONAL 2501 PUERTO MONTT, DE LOS LAGOS - X",980380745.0,4952254,MULTIFOODS-CL, SALMONES MULTIEXPORT S.A.,3118.0,20162.36,24542.56
03031220,Australis Mar S.A.,KLENER 547 2ND FLOOR PUERTO VARAS CHILE,,23435325,"AUSTRA-CL, AUSTRALIS-CL", AUSTRALIS MAR S.A.,24750.0,108525.0,111975.0
03031310,Empresas Aquachile S.A.,"CARDONAL S/N LOTE B PUERTO MONTT, DE LOS LAGOS - X 5480000",,40758905,AQUACHILE-CL, EMPRESAS AQUACHILE S.A.,21081.04,88100.99,93019.99
03031220,Australis Mar S.A.,KLENER 547 2ND FLOOR PUERTO VARAS CHILE,,23435325,"AUSTRA-CL, AUSTRALIS-CL", AUSTRALIS MAR S.A.,25341.8,108694.0,112994.0
03044120,Granja Marina Tornagaleones S.A.,SANTIAGO LA,,23449523,, GRANJA MARINA TORNAGALEONES S.,9859.0,56985.46,71773.96
"03021410,03044120",Los Fiordos Ltda,"DIEGO PORTALES 2000 PISO 8, PUERTO MONTT PUERTO MONTT, LOS RíOS 5480000",,28819576,, EXPORTADORA LOS FIORDOS LTDA,23922.95,101327.37,111800.0
03031220,Multiexport Pacific Farms Sa,SANTIAGO,,39945235,MULTIFOODS-CL, MULTIEXPORT PACIFIC FARMS S.A.,24750.0,132574.0,135780.0
03031310,Salmones Camanchaca S.A.,TOME,,23411494,, SALMONES CAMANCHACA S.A.,20565.78,87486.43,93970.0
03048590,Imp.Y Exp. San Isidro Ltda,SAN BERNARDO,,45174858,, IMP.Y EXP. SAN ISIDRO S.A.,3014.69,68449.86,69381.82
03044120,Cultivos Yadran S.A.,AVENIDA EL PRESEDENTE EDUARDO FREI SANTIAGO DE CHI,,30565393,, CULTIVOS YADRAN S.A.,443.0,5230.5,5895.0
03031220,Aguas Claras S.A.,PUERTO MONTT,,45978663,, AGUAS CLARAS S.A,24525.0,134110.0,137360.0
03044120,Los Fiordos Ltda,"DIEGO PORTALES 2000 PISO 8, PUERTO MONTT PUERTO MONTT, LOS RíOS 5480000",,28819576,, EXPORTADORA LOS FIORDOS LTDA.,4016.0,21910.63,28357.44
03031220,Salmones Aysen S.A.,SANTIAGO SA,,23498894,, SALMONES AYSEN S.A.,24750.0,114650.0,117750.0
03048110,Salmones Aysen S.A.,SANTIAGO SA,,23498894,, SALMONES AYSEN S.A.,24156.0,180090.91,183620.0
03044120,Cultivos Yadran S.A.,AVENIDA EL PRESEDENTE EDUARDO FREI SANTIAGO DE CHI,,30565393,, CULTIVOS YADRAN S.A.,1057.0,11991.7,14000.0
03044120,Marine Harvest Chile Sa,H9231698 PUERTO MONTT,,33593588,"MHG-NO, MHGVY-US", MARINE HARVEST CHILE S.A.,10982.0,71825.79,86102.39
03044120,Salmones Blumar S.A.,PUERTO MONTT,,23577779,BLUMAR-CL, SALMONES BLUMAR S.A.,4320.0,28512.16,36087.16
03044120,Productos Del Mar Ventisqueros Sa,PUERTO MONTT,,33641348,, PRODUCTOS DEL MAR VENTISQUEROS S.A.,3436.0,29328.1,34222.22
16055300,Inversiones Coihuin Limitada,PUERTO MONTT,,33939425,, INVERSIONES COIHUIN LTDA,20314.0,36340.1,39996.1
03044120,Granja Marina Tornagaleones S.A.,SANTIAGO LA,,23449523,, GRANJA MARINA TORNAGALEONES S.,2905.0,22537.52,22537.52
03044120,Marine Harvest Chile Sa,H9231698 PUERTO MONTT,,33593588,"MHG-NO, MHGVY-US", MARINE HARVEST CHILE S.A.,5536.0,35528.86,43389.98
03044120,Salmones Multiexport S.A.,"AV. CARDONAL 2501 PUERTO MONTT, DE LOS LAGOS - X",980380745.0,4952254,MULTIFOODS-CL, SALMONES MULTIEXPORT S.A.,4148.0,25827.14,31649.34
03044120,Cermaq Chile S.A.,PUERTO MONTT,,36824242,, CERMAQ CHILE S.A,10244.0,62432.52,79600.0
03031220,Los Fiordos Ltda,"DIEGO PORTALES 2000 PISO 8, PUERTO MONTT PUERTO MONTT, LOS RíOS 5480000",,28819576,, EXPORTADORA LOS FIORDOS LTDA. -,24545.95,107060.97,110446.09
03048200,Trusal S.A.,SANTIAGO,,32424589,, TRUSAL S.A.,22351.1,205346.0,208696.0
03021410,Marine Harvest Chile Sa,H9231698 PUERTO MONTT,,33593588,"MHG-NO, MHGVY-US", MARINE HARVEST CHILE S.A.,23140.0,95000.0,95000.0
03079999,Sociedad Martinez Y Lagos Limitada,CONCEPCION,,34086392,, SOCIEDAD MARTINEZ Y LAGOS LIMITADA,24720.0,32275.0,37200.0
03079992,Exportadora Mytilus S.A.,"AVE. LA DEHESA LO BARNECHEA, SANTIAGO.",,23546196,, EXPORTADORA MYTILUS S.A.,24900.0,21844.0,24500.0
03021410,Cermaq Chile S.A.,PUERTO MONTT,,36824242,, CERMAQ CHILE S.A,12892.01,54060.44,74690.94
03049944,Los Fiordos Ltda,"DIEGO PORTALES 2000 PISO 8, PUERTO MONTT PUERTO MONTT, LOS RíOS 5480000",,28819576,, EXPORTADORA LOS FIORDOS LTDA. -,22491.36,46013.65,48600.0
03044200,Aguas Claras S.A.,PUERTO MONTT,,45978663,, AGUAS CLARAS S.A.,773.0,8189.2,9309.86
03049942,Salmones Pacific Star S.A.,PUERTO MONTT,,33932638,, SALMONES PACIFIC STAR S.A.,23349.67,210881.4,215281.4
03031220,Granja Marina Tornagaleones S.A.,SANTIAGO LA,,23449523,, GRANJA MARINA TORNAGALEONES S.,24200.0,112925.0,116325.0
03044120,Salmones Blumar S.A.,PUERTO MONTT,,23577779,BLUMAR-CL, SALMONES BLUMAR S.A.,5210.0,63969.12,73101.62
03031220,Salmones Pacific Star S.A.,PUERTO MONTT,,33932638,, SALMONES PACIFIC STAR S.A.,25253.92,123302.01,127197.2
03044200,Productos Del Mar Ventisqueros Sa,PUERTO MONTT,,33641348,, PRODUCTOS DEL MAR VENTISQUEROS S.A.,2157.0,21908.05,24985.49
03031220,Cermaq Chile S.A.,PUERTO MONTT,,36824242,, CERMAQ CHILE S.A.,24589.2,137096.95,142275.0
